,Obs,Time,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,Status,filename,date,site,species,sppcode,ID
27,26,3561.3,6.13,0.208,235,2.71,1.35,6,1,2.84,27.88,30.03,26.69,299.26,290.95,26.115,29.272,69.16,77.52,499.7,1299,81,99.82,5.24,0.896,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
28,27,3568,6.13,0.208,235,2.71,1.35,6,1,2.84,27.88,30.07,26.69,299.27,290.93,26.112,29.277,69.16,77.52,499.7,1299,80,99.82,5.24,0.896,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
29,28,3571.8,6.18,0.208,234,2.71,1.35,6,1,2.84,27.88,30.04,26.69,299.2,290.83,26.105,29.27,69.13,77.51,499.5,1299,80,99.82,5.24,0.896,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
30,29,3768.5,3.33,0.206,163,2.72,1.36,6,1,2.84,27.9,30.07,26.69,199.48,194.85,26.047,29.217,68.9,77.28,499.7,1299,76,99.82,3.88,0.857,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
31,30,3773,3.46,0.207,162,2.72,1.36,6,1,2.84,27.9,30.05,26.69,199.62,194.83,26.046,29.213,68.91,77.3,499.6,1299,76,99.82,3.88,0.857,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
32,31,4054.5,0.532,0.208,91.3,2.73,1.35,6,1,2.84,27.88,30,26.69,98.72,97.76,25.948,29.128,68.74,77.17,499.7,1299,77,99.81,2.54,0.849,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
33,32,4060.5,0.544,0.21,91.3,2.74,1.35,6,1,2.84,27.88,29.99,26.69,98.74,97.76,25.947,29.141,68.73,77.19,499.5,1299,77,99.82,2.54,0.849,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
34,33,4352,-0.724,0.215,55,2.8,1.35,6,1,2.84,27.88,29.96,26.69,49.78,50.48,25.836,29.103,68.42,77.07,499.6,1300,74,99.81,1.93,0.845,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
35,34,4356.5,-0.775,0.213,55.5,2.8,1.36,6,1,2.84,27.88,30,26.69,49.79,50.55,25.843,29.103,68.43,77.07,499.8,1300,74,99.81,1.93,0.845,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
36,35,4642,8.66,0.217,313,2.88,1.37,6,1,2.84,28.08,30.03,27.09,401.1,389.35,25.686,29.04,67.24,76.02,499.5,1300,68,99.82,6.48,0.813,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
37,36,4645.8,8.66,0.217,313,2.88,1.37,6,1,2.84,28.09,30.02,27.08,401.04,389.27,25.683,29.036,67.24,76.02,499.6,1300,68,99.82,6.48,0.813,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
38,37,4828.3,8.72,0.217,313,2.88,1.37,6,1,2.84,28.1,30.02,27.08,401.22,389.39,25.622,28.979,66.99,75.76,499.7,1300,63,99.82,6.34,0.806,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
39,38,4834.3,8.72,0.217,313,2.88,1.37,6,1,2.84,28.1,30.01,27.08,401.15,389.4,25.611,28.979,66.99,75.76,499.6,1300,62,99.82,6.34,0.806,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
40,39,5130,12.8,0.226,474,2.99,1.37,6,1,2.84,28.18,29.99,27.28,600.25,582.78,25.406,28.89,66.14,75.21,499.8,1300,56,99.81,8.91,0.766,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
41,40,5136,12.8,0.212,468,2.86,1.39,6,1,2.84,28.19,29.99,27.28,600.36,582.93,25.4,28.73,66.08,74.75,499.7,1300,57,99.82,8.91,0.766,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
42,41,5453.5,15,0.219,647,2.97,1.41,6,1,2.84,28.33,30.03,27.47,800.77,780,25.204,28.67,65.03,73.98,499.6,1300,65,99.81,11.4,0.769,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
43,42,5459.5,15,0.219,647,2.98,1.41,6,1,2.84,28.33,30.05,27.47,800.72,779.92,25.201,28.677,65.02,73.99,499.6,1300,65,99.81,11.4,0.769,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
44,43,5768.8,15.7,0.21,830,2.91,1.43,6,1,2.84,28.25,30.08,27.28,1000.74,978.45,25.139,28.53,65.18,73.97,499.6,1299,74,99.82,14,0.717,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
45,44,5773.3,15.7,0.212,831,2.92,1.43,6,1,2.84,28.25,30.06,27.28,1000.91,978.6,25.143,28.546,65.17,74,499.8,1299,73,99.82,14,0.717,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
46,45,6335.8,16.7,0.205,1310,2.76,1.39,6,1,2.84,27.98,29.96,26.89,1501.31,1476.38,25.444,28.663,66.98,75.46,499.6,1299,68,99.81,20.6,0.761,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
47,46,6346.3,16.6,0.205,1310,2.77,1.39,6,1,2.84,27.98,29.97,26.88,1501.05,1476.17,25.437,28.661,66.97,75.46,499.8,1299,68,99.82,20.6,0.761,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
110,44,9261,9.26,0.32,331,2.94,0.973,6,1,2.84,29.93,30.05,29.82,399.71,387.25,29.872,33.274,69.85,77.8,500.6,1300,44,99.2,1.02,0.167,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
210,45,9264,9.21,0.319,331,2.93,0.975,6,1,2.84,29.93,30.06,29.81,399.61,387.21,29.874,33.271,69.86,77.8,500.7,1300,44,99.2,1.02,0.167,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
310,46,9518.5,9.19,0.311,330,2.84,0.967,6,1,2.84,30.31,29.99,30.34,400.07,387.74,29.882,33.167,68.33,75.84,500.7,1000,69,99.2,1.15,0.165,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
48,47,9523,9.11,0.311,331,2.84,0.968,6,1,2.84,30.3,30,30.21,400.02,387.79,29.883,33.177,68.4,75.94,500.8,1000,70,99.2,1.15,0.165,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
51,48,9550,9.26,0.308,329,2.83,0.971,6,1,2.84,30.24,30,30.3,400,387.59,29.895,33.169,68.67,76.19,500.6,999,71,99.2,1.15,0.165,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
61,49,9808.3,9.18,0.303,330,2.75,0.959,6,1,2.84,30.47,29.95,30.6,400.58,388.3,29.96,33.149,67.91,75.14,500.7,800,74,99.19,1.2,0.16,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
71,50,9813.5,9.18,0.304,330,2.75,0.957,6,1,2.84,30.46,29.94,30.6,400.52,388.23,29.962,33.152,67.93,75.17,500.5,801,74,99.18,1.2,0.16,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
81,51,10002.5,8.89,0.29,329,2.65,0.962,6,1,2.84,30.98,29.92,31.37,400.48,388.58,29.98,33.053,65.98,72.74,500.6,500,83,99.19,1.22,0.166,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
91,52,10011.5,8.9,0.289,329,2.65,0.965,6,1,2.84,30.99,29.93,31.37,400.56,388.65,29.981,33.057,65.97,72.74,500.7,500,81,99.19,1.22,0.166,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
101,53,10214.5,8.04,0.274,333,2.6,0.993,6,1,2.84,31.44,30.02,31.95,400.27,389.41,29.977,32.99,64.3,70.76,500.6,301,62,99.19,1.25,0.167,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
111,54,10220.5,8.07,0.275,333,2.6,0.992,6,1,2.84,31.44,30.02,31.96,400.3,389.42,29.975,32.993,64.27,70.74,500.8,301,62,99.2,1.25,0.167,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
121,55,10506.5,6.96,0.252,337,2.46,1.01,6,1,2.84,31.5,30.03,31.96,399.98,390.48,29.949,32.808,64.01,70.11,500.4,201,86,99.19,1.42,0.146,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
131,56,10510.3,6.95,0.252,337,2.46,1.01,6,1,2.84,31.5,30.02,31.96,399.93,390.45,29.945,32.793,64,70.09,500.8,200,85,99.2,1.42,0.146,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
141,57,10754.5,4.88,0.246,353,2.43,1.03,6,1,2.84,31.64,30.04,32.16,400.46,393.47,29.901,32.718,63.39,69.36,500.7,100,72,99.19,1.37,0.179,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
151,58,10762.8,4.82,0.245,353,2.41,1.02,6,1,2.84,31.63,30.02,32.16,400.41,393.49,29.908,32.706,63.44,69.37,500.6,100,70,99.19,1.37,0.179,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
161,59,10886.3,2.63,0.233,370,2.31,1.03,6,1,2.84,31.63,29.98,32.15,400.49,396.24,29.891,32.569,63.4,69.08,500.9,51,61,99.18,1.42,0.16,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
171,60,10893,2.59,0.234,371,2.32,1.02,6,1,2.84,31.64,29.97,32.15,400.45,396.25,29.888,32.572,63.37,69.06,500.7,50,59,99.19,1.42,0.16,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
181,61,11062,0.814,0.222,385,2.22,1.03,6,1,2.84,31.61,29.94,32.15,400.42,398.39,29.874,32.443,63.43,68.89,500.8,19,63,99.19,1.46,0.166,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
191,62,11068,0.801,0.222,386,2.22,1.03,6,1,2.84,31.61,29.94,32.16,400.42,398.41,29.876,32.446,63.46,68.92,500.5,19,63,99.19,1.46,0.166,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
201,63,11264,-0.727,0.211,399,2.2,1.07,6,1,2.84,31.91,30.08,32.55,400.55,400.37,29.807,32.36,62.25,67.58,500.8,1,63,99.19,1.46,0.164,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
211,64,11264,-0.727,0.211,399,2.2,1.07,6,1,2.84,31.91,30.08,32.55,400.55,400.37,29.807,32.36,62.25,67.58,500.8,1,63,99.19,1.46,0.164,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
22,65,11267.8,-0.74,0.212,399,2.2,1.07,6,1,2.84,31.9,30.06,32.55,400.46,400.29,29.803,32.356,62.26,67.6,500.5,1,61,99.18,1.46,0.164,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
241,66,12355.3,9.05,0.28,326,2.84,1.06,6,1,2.84,30.1,30.07,30.21,401.02,388.85,29.101,32.394,67.34,74.97,500.5,1300,67,99.18,1.42,0.149,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
251,67,12362.8,9.04,0.281,327,2.85,1.06,6,1,2.84,30.1,30.07,30.21,401.13,388.97,29.098,32.4,67.34,74.98,500.6,1300,74,99.18,1.42,0.149,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
261,68,12565.5,6.54,0.288,246,2.84,1.04,6,1,2.84,29.87,29.97,29.82,299.38,290.53,29.15,32.448,68.35,76.08,499.1,1300,66,99.17,0.425,0.15,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
271,69,12570,6.69,0.288,245,2.85,1.04,6,1,2.84,29.87,30,29.81,299.34,290.33,29.148,32.457,68.34,76.1,500.3,1300,69,99.16,0.425,0.15,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
281,70,12836.3,3.95,0.307,168,2.99,1.03,6,1,2.84,29.97,30,30.01,199.43,194,29.136,32.599,67.93,76,500.5,1300,116,99.17,-0.285,0.181,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
291,71,12840,3.86,0.305,169,2.97,1.03,6,1,2.84,29.97,30.01,30.01,199.36,194.03,29.145,32.592,67.94,75.98,500.6,1300,118,99.17,-0.285,0.181,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
301,72,13268.3,1.18,0.315,90.1,2.99,1.01,6,1,2.84,29.79,30.05,29.62,100.02,98.25,29.476,32.942,69.45,77.62,500.6,1301,73,99.18,-1.1,0.164,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
311,73,13273.5,1.19,0.304,89.9,2.91,1.01,6,1,2.84,29.79,30.04,29.62,100.11,98.34,29.48,32.855,69.44,77.39,500.6,1301,74,99.18,-1.1,0.164,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
321,74,13638.8,-0.234,0.317,49.6,2.92,0.978,6,1,2.84,29.84,29.99,29.81,48.96,49.07,29.69,33.075,69.73,77.68,500.6,1299,92,99.17,-1.54,0.167,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
331,75,13640.3,-0.234,0.317,49.6,2.92,0.978,6,1,2.84,29.84,29.98,29.81,48.97,49.05,29.687,33.067,69.73,77.68,500.3,1299,92,99.17,-1.54,0.167,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
341,76,14192.3,9.2,0.305,330,2.77,0.96,6,1,2.84,29.76,30.01,29.62,400.23,387.92,30.102,33.314,71.03,78.61,500.6,1300,69,99.16,1.16,0.207,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
351,77,14194.5,9.25,0.305,329,2.78,0.961,6,1,2.84,29.76,30.02,29.62,400.26,387.88,30.096,33.312,71.01,78.6,500.5,1300,69,99.16,1.16,0.207,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
361,78,14541.8,8.98,0.288,328,2.74,1,6,1,2.84,29.92,30.1,29.82,400.13,388.1,29.945,33.124,70.03,77.47,500.6,1300,51,99.17,1.22,0.201,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
371,79,14541.8,8.98,0.288,328,2.74,1,6,1,2.84,29.92,30.1,29.82,400.13,388.1,29.945,33.124,70.03,77.47,500.6,1300,51,99.17,1.22,0.201,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
381,80,14885.5,12.7,0.267,491,2.58,1.01,6,1,2.84,29.86,29.99,29.82,599.67,582.62,29.791,32.783,69.88,76.9,500.6,1300,62,99.16,2.82,0.2,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
391,81,14889.3,12.7,0.267,491,2.58,1.01,6,1,2.84,29.86,30.01,29.82,599.73,582.6,29.788,32.78,69.88,76.9,500.6,1300,62,99.16,2.82,0.2,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
401,82,15155,14.7,0.239,662,2.44,1.06,6,1,2.84,29.87,30.08,29.81,799.53,779.66,29.656,32.489,69.53,76.17,500.5,1300,72,99.15,4.64,0.208,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
411,83,15159.5,14.8,0.239,661,2.44,1.06,6,1,2.84,29.88,30.08,29.81,799.72,779.74,29.654,32.489,69.49,76.13,500.3,1300,71,99.15,4.64,0.208,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
421,84,15600.5,15.5,0.2,831,2.16,1.1,6,1,2.84,29.84,30.04,29.82,999.77,978.7,29.429,31.93,69.12,74.99,500.7,1300,43,99.17,6.58,0.173,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
431,85,15608,15.2,0.199,832,2.15,1.1,6,1,2.84,29.84,30.03,29.82,999.58,978.82,29.431,31.921,69.16,75.01,500.7,1300,40,99.17,6.58,0.173,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
441,86,16016.5,16.3,0.169,1290,1.91,1.14,6,1,2.84,29.8,29.99,29.81,1500.33,1477.43,29.23,31.444,68.85,74.06,500.6,1300,42,99.18,11.7,0.198,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
451,87,16021,16.4,0.168,1290,1.89,1.14,6,1,2.84,29.8,30,29.81,1500.14,1477.16,29.233,31.43,68.85,74.02,500.6,1300,42,99.18,11.7,0.198,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
461,88,16024.8,16.3,0.168,1290,1.9,1.14,6,1,2.84,29.8,29.99,29.81,1500.1,1477.23,29.226,31.431,68.83,74.02,500.6,1300,40,99.19,11.7,0.198,111115,20200807_SM.xlsx,8/7/20,J22,Celastrus orbiculatus,ceorb,ceorb-J22-1
112,1,801.8,10.1,0.243,310,2.8,1.2,6,1,2.84,30.21,30.08,30.4,401.11,387.73,27.819,31.071,64.03,71.51,500.6,1300,89,99.24,1.43,0.0551,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
212,2,808.5,10.1,0.242,309,2.8,1.2,6,1,2.84,30.22,30.1,30.4,401.14,387.75,27.831,31.087,64.03,71.52,500.6,1300,87,99.24,1.43,0.0551,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
312,3,1010.3,9.91,0.238,310,2.68,1.17,6,1,2.84,30.61,29.99,30.98,401.25,388.12,28.043,31.155,63.08,70.08,500.3,999,70,99.26,1.51,0.0506,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
49,4,1014,9.91,0.238,310,2.68,1.17,6,1,2.84,30.61,30.01,30.98,401.27,388.05,28.045,31.153,63.08,70.08,500.6,1000,71,99.25,1.51,0.0506,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
52,5,1227.5,9.93,0.235,308,2.63,1.16,6,1,2.84,30.9,30,31.37,399.74,386.62,28.207,31.255,62.4,69.14,500.7,800,75,99.26,1.31,0.0731,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
62,6,1233.5,9.96,0.235,307,2.62,1.15,6,1,2.84,30.9,29.99,31.37,399.74,386.57,28.209,31.258,62.41,69.15,500.4,800,74,99.26,1.31,0.0731,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
72,7,1434.5,9.54,0.218,306,2.48,1.17,6,1,2.84,31.45,30.02,32.16,400,387.41,28.276,31.158,60.64,66.82,500.5,499,63,99.27,1.36,0.0705,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
82,8,1436,9.53,0.219,306,2.49,1.17,6,1,2.84,31.45,30.01,32.16,399.98,387.41,28.273,31.159,60.63,66.81,500.7,499,62,99.26,1.36,0.0705,111115,20200807_UM.xlsx,8/7/20,J22,Lonicera japonica,lojap,lojap-J22-1
